manning_n_1,manning_n_3,rmse
0.04,0.06,0.016978
0.067793,0.046509,0.971616
0.066781,0.083717,0.980046
0.04675,0.038998,0.263931
0.047555,0.060034,0.321753
0.028572,0.08858,0.588787
0.023385,0.09498,0.858764
0.076313,0.03007,1.153432
0.079533,0.085573,1.269313
0.056699,0.030636,0.624975
0.021384,0.07723,0.998585
0.039794,0.03,0.069318
0.039593,0.12,0.040811
0.038342,0.12,0.041013
0.040334,0.12,0.071594
0.038327,0.03,0.138505
0.039858,0.080056,0.005299
0.040809,0.070032,0.035114
0.038967,0.086334,0.036331
0.036521,0.12,0.124661
0.041038,0.075439,0.051979
0.039859,0.083696,0.008901
0.039732,0.083622,0.006981
0.039952,0.076455,0.003221
0.051185,0.03,0.428621
