iteration,nchannel,nleft_2,calibration_error,wse_sim_point1,wse_meas_point1,wse_sim_point2,wse_meas_point2
1,0.06779257921161398,0.03100608739196983,0.7797437739275039,952.95458984375,952.4298095703125,946.5116577148438,945.5418090820312
2,0.06678146001636617,0.05581100947678923,0.7871643324093307,952.9364013671875,952.4298095703125,946.5330810546875,945.5418090820312
3,0.04674996517121548,0.025998494949080176,0.213833553682935,952.5700073242188,952.4298095703125,945.8097534179688,945.5418090820312
4,0.047554933517952036,0.040022516668341314,0.25594467095400353,952.58837890625,952.4298095703125,945.8671875,945.5418090820312
5,0.02857200907531645,0.05905330837693118,0.5838545747500878,952.1961059570312,952.4298095703125,944.7498779296875,945.5418090820312
6,0.023384694741626015,0.0633199263360095,0.9426727372723693,952.0802612304688,952.4298095703125,944.2553100585938,945.5418090820312
7,0.07631316254094501,0.02004672595046086,0.9067262773022214,953.0995483398438,952.4298095703125,946.6353149414062,945.5418090820312
8,0.07953269355747307,0.05704889057766299,1.0055152424746427,953.1602172851562,952.4298095703125,946.7619018554688,945.5418090820312
9,0.05669918962929686,0.020423978313183044,0.5029600282424219,952.7357177734375,952.4298095703125,946.1839599609375,945.5418090820312
10,0.021383745502484945,0.05148647961550336,1.0966786446570638,952.0369873046875,952.4298095703125,944.0414428710938,945.5418090820312
11,0.04134922221148438,0.02,0.014926808525301283,952.4503173828125,952.4298095703125,945.5468139648438,945.5418090820312
12,0.04008755319683886,0.02,0.042392156599295835,952.43115234375,952.4298095703125,945.4818725585938,945.5418090820312
13,0.041939563989185275,0.08,0.10072166581450077,952.463134765625,952.4298095703125,945.6802978515625,945.5418090820312
14,0.0392805730477327,0.02,0.07042083077326236,952.4129028320312,952.4298095703125,945.4436645507812,945.5418090820312
15,0.04214086598164828,0.02,0.041944720920050846,952.4660034179688,952.4298095703125,945.5888061523438,945.5418090820312
16,0.042044360225252805,0.02041409776028836,0.03852080014418057,952.4646606445312,952.4298095703125,945.5836791992188,945.5418090820312
17,0.04110294043615107,0.020080067715794032,0.011590654916279872,952.4447631835938,952.4298095703125,945.5350952148438,945.5418090820312
18,0.0418260823280415,0.020323935602990537,0.03057861328125,952.4603881835938,952.4298095703125,945.5723876953125,945.5418090820312
19,0.03494765842734271,0.02,0.27068997870005973,952.3355712890625,952.4298095703125,945.1707763671875,945.5418090820312
20,0.03901609167259543,0.07935332858081463,0.01938522107720715,952.4088745117188,952.4298095703125,945.5241088867188,945.5418090820312
21,0.037832032076297234,0.08,0.06849141311860425,952.3809204101562,952.4298095703125,945.4581909179688,945.5418090820312
22,0.04005892977402696,0.08,0.029850528456532466,952.431640625,952.4298095703125,945.583984375,945.5418090820312
23,0.04042376995478554,0.04826229230602566,0.00117403467173287,952.4302978515625,952.4298095703125,945.5433959960938,945.5418090820312
24,0.03947383792177647,0.05832606108227692,0.02381247334716587,952.418212890625,952.4298095703125,945.5101928710938,945.5418090820312
25,0.0407571950957244,0.044744887738366476,0.010970379591523284,952.43798828125,952.4298095703125,945.5549926757812,945.5418090820312
26,0.05144933073012403,0.020127905798325386,0.35706934454377426,952.65478515625,952.4298095703125,945.993896484375,945.5418090820312
27,0.04058033125048324,0.0455003504670561,0.004807850486647456,952.4338989257812,952.4298095703125,945.5472412109375,945.5418090820312
28,0.040644260523557046,0.043884494960578606,0.005774358043660209,952.435302734375,952.4298095703125,945.5478515625,945.5418090820312
29,0.04070075130911792,0.042279210870846795,0.0065988573479596685,952.4367065429688,952.4298095703125,945.548095703125,945.5418090820312
30,0.05399378051894484,0.08,0.49847761862686063,952.6814575195312,952.4298095703125,946.2003173828125,945.5418090820312
31,0.033497924363959986,0.07989810253558915,0.2679623434841284,952.3037109375,952.4298095703125,945.1844482421875,945.5418090820312
32,0.041175606611970623,0.04136591201078482,0.02440326451884407,952.4474487304688,952.4298095703125,945.5714721679688,945.5418090820312
33,0.04031339866649372,0.05058851940486769,0.005007115308103926,952.4368896484375,952.4298095703125,945.5416870117188,945.5418090820312
34,0.04031278823646984,0.050611174174642795,0.004963400522195306,952.4368286132812,952.4298095703125,945.541748046875,945.5418090820312
35,0.04031386359087639,0.05056297774292866,0.00501101978211846,952.4368896484375,952.4298095703125,945.54150390625,945.5418090820312
36,0.04013003017446877,0.04201946224751047,0.017525541280449433,952.4323120117188,952.4298095703125,945.5171508789062,945.5418090820312
37,0.040339998477081175,0.05211793160742799,0.0059655425755924885,952.4374389648438,952.4298095703125,945.54541015625,945.5418090820312
38,0.04034388384032637,0.052122707767105064,0.006477351463864479,952.437744140625,952.4298095703125,945.54638671875,945.5418090820312
39,0.040499357907098986,0.052984974306987356,0.010032906184630161,952.4322509765625,952.4298095703125,945.5557861328125,945.5418090820312
40,0.04036364160522249,0.050742486477853704,0.006223491241506532,952.4381713867188,952.4298095703125,945.5445556640625,945.5418090820312
41,0.040367666389137746,0.050664594982386624,0.006264508811482911,952.438232421875,952.4298095703125,945.5445556640625,945.5418090820312
42,0.04047303451538711,0.046075130843620846,0.0011003269273266569,952.4313354492188,952.4298095703125,945.5421142578125,945.5418090820312
43,0.04048955996309641,0.04458441857395872,0.001530753931150446,952.4318237304688,952.4298095703125,945.541015625,945.5418090820312
44,0.040501336903831994,0.04489678544349601,0.0015560972636696731,952.4320068359375,952.4298095703125,945.5419311523438,945.5418090820312
45,0.06107312414419003,0.08,0.683773683300388,952.8270263671875,952.4298095703125,946.4234619140625,945.5418090820312
46,0.04051276427181785,0.044499483347396535,0.0017268743103997935,952.4322509765625,952.4298095703125,945.541748046875,945.5418090820312
47,0.04472683838957991,0.08,0.20563665354093447,952.525390625,952.4298095703125,945.8164672851562,945.5418090820312
48,0.04052585900357854,0.042642269781676456,0.0026862403667804427,952.4325561523438,952.4298095703125,945.5391845703125,945.5418090820312
49,0.03744359505132658,0.02,0.14897940248813812,952.3858642578125,952.4298095703125,945.3357543945312,945.5418090820312
50,0.044192951555879934,0.02,0.11774447323753023,952.5115356445312,952.4298095703125,945.6868896484375,945.5418090820312
